Lot Frontage,Lot Area,Neighborhood,House Style,Overall Qual,Year Built,Exterior 1st,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Type,Garage Finish,Garage Area,Paved Drive,Total Outdoor SF (Porch),Total Bath,SalePrice
141.0,31770,NAmes,1Story,6,1960,BrkFace,112.0,TA,CBlock,TA,Gd,Gd,BLQ,1080.0,Fa,Y,SBrkr,1656,0,3,TA,2,Attchd,Fin,528.0,P,272,2.0,215000
80.0,11622,NAmes,1Story,5,1961,VinylSd,0.0,TA,CBlock,TA,TA,No,Rec,882.0,TA,Y,SBrkr,896,0,2,TA,0,Attchd,Unf,730.0,Y,260,1.0,105000
81.0,14267,NAmes,1Story,6,1958,Wd Sdng,108.0,TA,CBlock,TA,TA,No,ALQ,1329.0,TA,Y,SBrkr,1329,0,3,Gd,0,Attchd,Unf,312.0,Y,429,1.5,172000
93.0,11160,NAmes,1Story,7,1968,BrkFace,0.0,Gd,CBlock,TA,TA,No,ALQ,2110.0,Ex,Y,SBrkr,2110,0,3,Ex,2,Attchd,Fin,522.0,Y,0,3.5,244000
74.0,13830,Gilbert,2Story,5,1997,VinylSd,0.0,TA,PConc,Gd,TA,No,GLQ,928.0,Gd,Y,SBrkr,928,701,3,TA,1,Attchd,Fin,482.0,Y,246,2.5,189900
78.0,9978,Gilbert,2Story,6,1998,VinylSd,20.0,TA,PConc,TA,TA,No,GLQ,926.0,Ex,Y,SBrkr,926,678,3,Gd,1,Attchd,Fin,470.0,Y,396,2.5,195500
41.0,4920,StoneBr,1Story,8,2001,CemntBd,0.0,Gd,PConc,Gd,TA,Mn,GLQ,1338.0,Ex,Y,SBrkr,1338,0,2,Gd,0,Attchd,Fin,582.0,Y,170,3.0,213500
43.0,5005,StoneBr,1Story,8,1992,HdBoard,0.0,Gd,PConc,Gd,TA,No,ALQ,1280.0,Ex,Y,SBrkr,1280,0,2,Gd,0,Attchd,RFn,506.0,Y,226,2.0,191500
39.0,5389,StoneBr,1Story,8,1995,CemntBd,0.0,Gd,PConc,Gd,TA,No,GLQ,1595.0,Ex,Y,SBrkr,1616,0,2,Gd,1,Attchd,RFn,608.0,Y,389,3.0,236500
60.0,7500,Gilbert,2Story,7,1999,VinylSd,0.0,TA,PConc,TA,TA,No,Unf,994.0,Gd,Y,SBrkr,1028,776,3,Gd,1,Attchd,Fin,442.0,Y,200,2.5,189000
75.0,10000,Gilbert,2Story,6,1993,HdBoard,0.0,TA,PConc,Gd,TA,No,Unf,763.0,Gd,Y,SBrkr,763,892,3,TA,1,Attchd,Fin,440.0,Y,241,2.5,175900
64.0,7980,Gilbert,1Story,6,1992,HdBoard,0.0,TA,PConc,Gd,TA,No,ALQ,1168.0,Ex,Y,SBrkr,1187,0,3,TA,0,Attchd,Fin,420.0,Y,504,3.0,185000
63.0,8402,Gilbert,2Story,6,1998,VinylSd,0.0,TA,PConc,Gd,TA,No,Unf,789.0,Gd,Y,SBrkr,789,676,3,TA,1,Attchd,Fin,393.0,Y,75,2.5,180400
85.0,10176,Gilbert,1Story,7,1990,HdBoard,0.0,TA,PConc,Gd,TA,Gd,GLQ,1300.0,Gd,Y,SBrkr,1341,0,2,Gd,1,Attchd,Unf,506.0,Y,192,2.5,171500
60.0,6820,StoneBr,1Story,8,1985,HdBoard,0.0,Gd,PConc,Gd,TA,Av,GLQ,1488.0,TA,Y,SBrkr,1502,0,1,Gd,0,Attchd,RFn,528.0,Y,194,2.5,212000
47.0,53504,StoneBr,2Story,8,2003,CemntBd,603.0,Ex,PConc,Gd,TA,Gd,ALQ,1650.0,Ex,Y,SBrkr,1690,1589,4,Ex,1,BuiltIn,Fin,841.0,Y,749,4.5,538000
152.0,12134,Gilbert,1.5Fin,8,1988,Wd Sdng,0.0,Gd,Wood,Gd,TA,Av,GLQ,559.0,Gd,Y,SBrkr,1080,672,4,TA,0,Basment,RFn,492.0,Y,337,2.0,164000
88.0,11394,StoneBr,1Story,9,2010,VinylSd,350.0,Gd,PConc,Ex,TA,Av,GLQ,1856.0,Ex,Y,SBrkr,1856,0,1,Ex,1,Attchd,Fin,834.0,Y,113,2.5,394432
140.0,19138,Gilbert,1Story,4,1951,VinylSd,0.0,TA,CBlock,TA,TA,No,LwQ,864.0,Ex,Y,SBrkr,864,0,2,TA,0,Detchd,Unf,400.0,Y,0,1.0,141000
85.0,13175,NWAmes,1Story,6,1978,Plywood,119.0,TA,CBlock,Gd,TA,No,ALQ,1542.0,TA,Y,SBrkr,2073,0,3,TA,2,Attchd,Unf,500.0,Y,349,3.0,210000
105.0,11751,NWAmes,1Story,6,1977,Plywood,480.0,TA,CBlock,Gd,TA,No,BLQ,1844.0,Ex,Y,SBrkr,1844,0,3,TA,1,Attchd,RFn,546.0,Y,122,2.0,190000
85.0,10625,NWAmes,SFoyer,7,1974,Plywood,81.0,TA,CBlock,Gd,TA,Gd,GLQ,1053.0,TA,Y,SBrkr,1173,0,3,Gd,2,Attchd,RFn,528.0,Y,120,3.0,170000
72.5,7500,Somerst,2Story,7,2000,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,814.0,Ex,Y,SBrkr,814,860,3,Gd,0,Attchd,RFn,663.0,Y,96,3.5,216000
73.0,11241,NAmes,1Story,6,1970,Wd Sdng,180.0,TA,CBlock,TA,TA,No,ALQ,1004.0,Ex,Y,SBrkr,1004,0,2,TA,1,Attchd,Fin,480.0,Y,0,2.0,149000
73.0,12537,NAmes,1Story,5,1971,VinylSd,0.0,TA,CBlock,TA,TA,No,GLQ,1078.0,Ex,Y,SBrkr,1078,0,3,TA,1,Attchd,Fin,500.0,Y,0,2.5,149900
65.0,8450,NAmes,1Story,5,1968,VinylSd,0.0,TA,CBlock,TA,TA,No,BLQ,1056.0,Ex,Y,SBrkr,1056,0,3,TA,1,Attchd,Unf,304.0,Y,269,2.0,142000
70.0,8400,NAmes,1Story,4,1970,Plywood,0.0,TA,CBlock,TA,TA,No,ALQ,882.0,TA,Y,SBrkr,882,0,2,TA,0,Attchd,Fin,525.0,Y,240,2.0,126000
70.0,10500,NAmes,1Story,4,1971,HdBoard,0.0,TA,CBlock,TA,TA,No,ALQ,864.0,TA,Y,SBrkr,864,0,3,TA,1,None,None,0.0,Y,0,1.0,115000
26.0,5858,NAmes,1Story,7,1999,MetalSd,0.0,Gd,PConc,Gd,TA,No,GLQ,1405.0,Ex,Y,SBrkr,1337,0,2,Gd,1,Attchd,Fin,511.0,Y,271,3.0,184000
21.0,1680,BrDale,2Story,6,1971,HdBoard,504.0,TA,CBlock,TA,TA,No,Rec,483.0,TA,Y,SBrkr,483,504,2,TA,0,Detchd,Unf,264.0,Y,275,1.5,96000
21.0,1680,BrDale,2Story,5,1971,HdBoard,492.0,TA,CBlock,TA,TA,No,Rec,525.0,TA,Y,SBrkr,525,567,3,TA,0,Detchd,Unf,320.0,Y,0,1.5,105500
21.0,1680,BrDale,2Story,6,1971,HdBoard,381.0,TA,CBlock,TA,TA,No,Unf,525.0,TA,Y,SBrkr,525,567,3,TA,0,Detchd,Unf,264.0,Y,0,1.5,88000
53.0,4043,NPkVill,1Story,6,1977,Plywood,0.0,TA,CBlock,Gd,TA,No,ALQ,1069.0,TA,Y,SBrkr,1069,0,2,TA,1,Attchd,RFn,440.0,Y,220,2.0,127500
24.0,2280,NPkVill,2Story,6,1975,Plywood,0.0,TA,CBlock,TA,TA,No,ALQ,855.0,TA,Y,SBrkr,855,601,3,Gd,1,Attchd,Unf,440.0,Y,173,2.5,149900
24.0,2280,NPkVill,1Story,7,1975,Plywood,0.0,TA,CBlock,Gd,TA,No,Unf,836.0,Ex,Y,SBrkr,836,0,2,TA,0,Attchd,Unf,308.0,Y,30,1.0,120000
24.0,2280,NPkVill,2Story,6,1978,Plywood,0.0,TA,CBlock,Gd,TA,No,ALQ,855.0,Fa,Y,SBrkr,855,601,3,TA,1,Attchd,Unf,440.0,Y,26,2.5,146000
102.0,12858,NridgHt,2Story,9,2009,VinylSd,162.0,Ex,PConc,Ex,TA,No,Unf,1590.0,Ex,Y,SBrkr,1627,707,3,Ex,1,Attchd,Fin,751.0,Y,277,2.5,376162
98.0,11478,NridgHt,1Story,8,2007,VinylSd,200.0,Gd,PConc,Ex,TA,No,GLQ,1704.0,Ex,Y,SBrkr,1704,0,3,Gd,1,Attchd,RFn,772.0,Y,50,3.0,306000
83.0,10159,NridgHt,1Story,9,2009,VinylSd,450.0,Ex,PConc,Ex,TA,Av,GLQ,1930.0,Ex,Y,SBrkr,1940,0,3,Ex,1,Attchd,Fin,606.0,Y,263,3.5,395192
94.0,12883,NridgHt,1Story,8,2009,VinylSd,256.0,Gd,PConc,Gd,TA,No,Unf,1544.0,Ex,Y,SBrkr,1544,0,3,Gd,0,Attchd,RFn,868.0,Y,35,2.0,290941
95.0,12182,NridgHt,1Story,7,2005,VinylSd,226.0,Gd,PConc,Gd,TA,Mn,BLQ,1541.0,Ex,Y,SBrkr,1541,0,3,Gd,1,Attchd,RFn,532.0,Y,70,2.0,220000
90.0,11520,NridgHt,1Story,9,2005,VinylSd,615.0,Gd,PConc,Ex,TA,No,GLQ,1698.0,Ex,Y,SBrkr,1698,0,3,Ex,1,Attchd,Fin,730.0,Y,266,2.0,275000
79.0,14122,NridgHt,1Story,8,2005,CemntBd,240.0,Gd,PConc,Ex,TA,No,GLQ,1822.0,Ex,Y,SBrkr,1822,0,3,Ex,1,Attchd,RFn,678.0,Y,119,2.0,259000
70.0,10171,NridgHt,1Story,7,2004,VinylSd,168.0,Gd,PConc,Gd,TA,No,GLQ,1517.0,Ex,Y,SBrkr,1535,0,3,Gd,0,Attchd,RFn,532.0,Y,0,2.0,214000
100.0,12919,NridgHt,1Story,9,2009,VinylSd,760.0,Ex,PConc,Ex,TA,Gd,GLQ,2330.0,Ex,Y,SBrkr,2364,0,2,Ex,2,Attchd,Fin,820.0,Y,67,3.5,611657
44.0,6371,NridgHt,1Story,7,2009,VinylSd,128.0,Gd,PConc,Gd,TA,Mn,GLQ,1358.0,Ex,Y,SBrkr,1358,0,2,Gd,1,Attchd,RFn,484.0,Y,227,3.0,224000
110.0,14300,NridgHt,1Story,9,2003,VinylSd,1095.0,Ex,PConc,Ex,TA,Gd,GLQ,2846.0,Ex,Y,SBrkr,2696,0,3,Ex,2,Attchd,Fin,958.0,Y,370,3.5,500000
105.0,13650,NridgHt,2Story,8,2002,VinylSd,232.0,Gd,PConc,Gd,TA,Gd,GLQ,1671.0,Ex,Y,SBrkr,1687,563,3,Gd,1,Attchd,Fin,756.0,Y,368,3.5,320000
61.0,7658,NridgHt,1Story,9,2005,MetalSd,412.0,Ex,PConc,Ex,TA,No,GLQ,1752.0,Ex,Y,SBrkr,1752,0,2,Ex,1,Attchd,RFn,576.0,Y,278,3.0,319900
41.0,7132,NridgHt,1Story,8,2006,VinylSd,178.0,Gd,PConc,Gd,TA,Mn,GLQ,1370.0,Ex,Y,SBrkr,1370,0,2,Gd,1,Attchd,RFn,484.0,Y,169,2.0,205000
36.0,2628,NridgHt,2Story,7,2003,VinylSd,106.0,Gd,PConc,Gd,TA,No,Unf,764.0,Ex,Y,SBrkr,764,862,2,Gd,0,BuiltIn,RFn,474.0,Y,27,2.5,175500
100.0,18494,Gilbert,1Story,6,2005,VinylSd,0.0,Gd,PConc,Gd,TA,No,Unf,1324.0,Ex,Y,SBrkr,1324,0,3,Gd,0,Attchd,Fin,430.0,Y,59,2.0,199500
43.0,3203,Blmngtn,1Story,7,2006,VinylSd,14.0,Gd,PConc,Gd,TA,Av,GLQ,1145.0,Ex,Y,SBrkr,1145,0,2,Gd,0,Attchd,Fin,437.0,Y,216,2.0,160000
43.0,3182,Blmngtn,1Story,8,2004,VinylSd,16.0,Gd,PConc,Gd,TA,No,GLQ,1256.0,Ex,Y,SBrkr,1269,0,2,Gd,1,Attchd,Fin,430.0,Y,310,2.0,192000
67.0,13300,Gilbert,SLvl,7,2004,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,384.0,Ex,Y,SBrkr,744,630,3,Gd,1,BuiltIn,Fin,400.0,Y,100,3.5,184500
64.0,7851,Gilbert,2Story,6,2002,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,860.0,Ex,Y,SBrkr,860,1100,4,Gd,2,BuiltIn,Fin,440.0,Y,336,3.5,216500
63.0,8577,Gilbert,2Story,7,2004,VinylSd,0.0,Gd,PConc,Gd,TA,No,Unf,847.0,Ex,Y,SBrkr,847,886,3,Gd,1,BuiltIn,Fin,433.0,Y,192,2.5,185088
64.0,7750,Gilbert,SLvl,7,2000,VinylSd,0.0,TA,PConc,Gd,TA,No,GLQ,384.0,Ex,Y,SBrkr,774,656,3,TA,1,BuiltIn,Fin,400.0,Y,180,2.5,180000
64.0,9505,Gilbert,2Story,7,2001,VinylSd,180.0,Gd,PConc,Gd,TA,No,Unf,884.0,Ex,Y,SBrkr,884,1151,3,Gd,1,BuiltIn,Fin,434.0,Y,192,2.5,222500
108.0,14774,NoRidge,2Story,9,1999,VinylSd,165.0,Gd,PConc,Gd,TA,No,Unf,1393.0,Ex,Y,SBrkr,1422,1177,4,Gd,1,BuiltIn,Fin,779.0,Y,698,2.5,333168
60.0,17433,NoRidge,2Story,8,1998,VinylSd,114.0,Gd,PConc,Ex,TA,No,Unf,1629.0,Ex,Y,SBrkr,1645,830,4,Gd,1,Attchd,Fin,962.0,Y,451,2.5,355000
59.0,10593,NoRidge,1Story,7,1996,VinylSd,338.0,Gd,PConc,Gd,TA,No,GLQ,1720.0,Ex,Y,SBrkr,1720,0,3,Gd,1,Attchd,Fin,527.0,Y,450,3.0,260400
98.0,12256,NoRidge,2Story,8,1994,HdBoard,362.0,Gd,PConc,Ex,TA,Av,GLQ,1463.0,Ex,Y,SBrkr,1500,1122,3,Gd,2,Attchd,RFn,712.0,Y,218,3.5,325000
92.0,11764,NoRidge,2Story,8,1999,VinylSd,348.0,Gd,PConc,Gd,TA,No,GLQ,1152.0,Ex,Y,SBrkr,1164,1106,4,Gd,1,Attchd,Fin,671.0,Y,189,2.5,290000
58.0,16770,NoRidge,2Story,7,1998,VinylSd,30.0,Gd,PConc,Gd,TA,No,Unf,1195.0,Gd,Y,SBrkr,1195,644,4,TA,0,Attchd,Fin,486.0,Y,81,2.5,221000
56.0,14720,NoRidge,1.5Fin,8,1995,VinylSd,579.0,Gd,PConc,Gd,TA,Av,GLQ,2033.0,Ex,Y,SBrkr,2053,1185,4,Gd,1,Attchd,Fin,666.0,Y,369,3.5,410000
73.0,8987,Somerst,1Story,8,2005,VinylSd,226.0,Gd,PConc,Gd,TA,None,Unf,1595.0,Ex,Y,SBrkr,1595,0,2,Gd,1,Attchd,RFn,880.0,Y,144,2.0,221500
92.0,9215,Somerst,1Story,7,2009,VinylSd,0.0,Gd,PConc,Gd,TA,No,Unf,1218.0,Ex,Y,SBrkr,1218,0,2,Gd,0,Attchd,RFn,676.0,Y,136,2.0,204500
72.0,8640,Somerst,2Story,7,2009,VinylSd,0.0,TA,PConc,Gd,TA,Mn,GLQ,756.0,Ex,Y,SBrkr,764,783,3,Gd,0,Attchd,Unf,614.0,Y,214,2.5,215200
75.0,9000,Somerst,1Story,8,2008,VinylSd,36.0,Gd,PConc,Gd,TA,Av,GLQ,1566.0,Ex,Y,SBrkr,1566,0,3,Gd,0,Attchd,RFn,750.0,Y,312,3.0,262500
100.0,12552,Somerst,2Story,7,2004,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,991.0,Ex,Y,SBrkr,991,956,3,Gd,1,Attchd,RFn,678.0,Y,136,2.5,254900
